image,disease,x,y,w,h
00000193_019.png,Cardiomegaly,122,86,63,78
00000193_019.png,Effusion,129,93,95,110
00000193_019.png,Infiltrate,0,0,17,17
00000193_019.png,Mass,190,41,34,25
00000193_019.png,Nodule,72,31,108,130
00000193_019.png,Pneumonia,118,84,77,83
00000193_019.png,Pneumothorax,0,0,27,26
00000211_010.png,Atelectasis,102,65,66,78
00000211_010.png,Cardiomegaly,104,75,70,79
00000211_010.png,Effusion,103,75,66,77
00000211_010.png,Infiltrate,98,67,68,75
00000211_010.png,Mass,111,86,67,73
00000211_010.png,Nodule,105,74,69,69
00000211_010.png,Pneumonia,101,75,68,72
00000211_010.png,Pneumothorax,100,78,68,72
00000211_016.png,Atelectasis,84,65,88,87
00000211_016.png,Cardiomegaly,95,78,71,77
00000211_016.png,Effusion,92,76,75,85
00000211_016.png,Infiltrate,0,0,17,17
00000211_016.png,Mass,0,0,22,22
00000211_016.png,Nodule,0,0,17,17
00000211_016.png,Pneumonia,0,0,18,18
00000211_016.png,Pneumothorax,0,0,27,26
00000211_019.png,Atelectasis,91,65,80,82
00000211_019.png,Cardiomegaly,101,77,70,78
00000211_019.png,Effusion,98,79,70,78
00000211_019.png,Infiltrate,89,59,84,92
00000211_019.png,Mass,0,0,18,18
00000211_019.png,Nodule,90,70,76,74
00000211_019.png,Pneumonia,0,0,17,17
00000211_019.png,Pneumothorax,29,100,116,106
00000211_041.png,Atelectasis,87,71,63,83
00000211_041.png,Cardiomegaly,84,75,58,82
00000211_041.png,Effusion,87,78,64,95
00000211_041.png,Infiltrate,38,54,100,101
00000211_041.png,Mass,44,81,101,85
00000211_041.png,Nodule,35,39,99,108
00000211_041.png,Pneumonia,37,64,100,87
00000211_041.png,Pneumothorax,0,0,17,17
00000344_003.png,Atelectasis,46,62,90,68
00000344_003.png,Cardiomegaly,102,59,77,68
00000344_003.png,Effusion,53,61,95,67
00000344_003.png,Infiltrate,59,48,96,81
00000344_003.png,Mass,0,0,25,24
00000344_003.png,Nodule,0,0,17,17
00000344_003.png,Pneumonia,0,0,22,22
00000344_003.png,Pneumothorax,40,62,90,74
00000377_004.png,Atelectasis,104,66,76,84
00000377_004.png,Cardiomegaly,105,77,82,81
00000377_004.png,Effusion,109,75,71,78
00000377_004.png,Infiltrate,102,68,77,81
00000377_004.png,Mass,105,84,94,80
00000377_004.png,Nodule,75,65,115,82
00000377_004.png,Pneumonia,99,79,85,74
00000377_004.png,Pneumothorax,110,75,83,83
00000398_003.png,Atelectasis,0,0,25,25
00000398_003.png,Cardiomegaly,0,0,21,21
00000398_003.png,Effusion,0,0,24,25
00000398_003.png,Infiltrate,0,0,25,24
00000398_003.png,Mass,0,0,17,17
00000398_003.png,Nodule,124,35,84,85
00000398_003.png,Pneumonia,0,0,25,25
00000398_003.png,Pneumothorax,0,0,27,26
00000457_004.png,Atelectasis,102,50,79,92
00000457_004.png,Cardiomegaly,119,79,73,78
00000457_004.png,Effusion,122,74,59,77
00000457_004.png,Infiltrate,61,0,116,159
00000457_004.png,Mass,93,66,95,88
00000457_004.png,Nodule,71,60,114,92
00000457_004.png,Pneumonia,99,83,90,74
00000457_004.png,Pneumothorax,104,0,120,152
00000468_017.png,Atelectasis,45,0,136,146
00000468_017.png,Cardiomegaly,64,49,93,100
00000468_017.png,Effusion,0,0,18,18
00000468_017.png,Infiltrate,38,0,111,124
00000468_017.png,Mass,0,0,23,21
00000468_017.png,Nodule,41,29,122,115
00000468_017.png,Pneumonia,42,22,114,133
00000468_017.png,Pneumothorax,33,71,97,81
00000468_033.png,Atelectasis,70,46,123,101
00000468_033.png,Cardiomegaly,106,79,74,87
00000468_033.png,Effusion,84,57,102,94
00000468_033.png,Infiltrate,53,36,131,153
00000468_033.png,Mass,0,0,19,18
00000468_033.png,Nodule,47,60,112,77
00000468_033.png,Pneumonia,0,0,17,17
00000468_033.png,Pneumothorax,36,68,188,156
00000468_041.png,Atelectasis,68,43,111,96
00000468_041.png,Cardiomegaly,104,67,81,90
00000468_041.png,Effusion,53,39,144,154
00000468_041.png,Infiltrate,69,47,119,87
00000468_041.png,Mass,118,76,106,111
00000468_041.png,Nodule,77,58,101,81
00000468_041.png,Pneumonia,70,57,106,98
00000468_041.png,Pneumothorax,83,66,109,90
00000506_013.png,Atelectasis,0,0,26,26
00000506_013.png,Cardiomegaly,0,0,27,26
00000506_013.png,Effusion,0,0,20,20
00000506_013.png,Infiltrate,0,0,27,27
00000506_013.png,Mass,0,0,26,26
00000506_013.png,Nodule,0,0,24,24
00000506_013.png,Pneumonia,0,0,26,26
00000506_013.png,Pneumothorax,0,0,27,26
00000583_008.png,Atelectasis,76,39,105,80
00000583_008.png,Cardiomegaly,101,39,70,77
00000583_008.png,Effusion,100,53,91,71
00000583_008.png,Infiltrate,92,0,112,119
00000583_008.png,Mass,0,0,19,19
00000583_008.png,Nodule,98,0,126,114
00000583_008.png,Pneumonia,87,37,93,81
00000583_008.png,Pneumothorax,95,49,85,69
00000643_002.png,Atelectasis,41,71,77,73
00000643_002.png,Cardiomegaly,37,68,95,81
00000643_002.png,Effusion,43,62,85,77
00000643_002.png,Infiltrate,45,70,71,76
00000643_002.png,Mass,39,73,80,78
00000643_002.png,Nodule,41,66,83,80
00000643_002.png,Pneumonia,37,68,89,87
00000643_002.png,Pneumothorax,34,67,84,84
00000661_000.png,Atelectasis,79,66,85,84
00000661_000.png,Cardiomegaly,83,86,91,89
00000661_000.png,Effusion,89,86,76,80
00000661_000.png,Infiltrate,47,82,107,70
00000661_000.png,Mass,71,97,109,85
00000661_000.png,Nodule,58,88,103,72
00000661_000.png,Pneumonia,71,84,91,76
00000661_000.png,Pneumothorax,88,87,80,80
00000732_005.png,Atelectasis,0,0,23,22
00000732_005.png,Cardiomegaly,97,81,71,76
00000732_005.png,Effusion,37,74,131,150
00000732_005.png,Infiltrate,80,0,104,150
00000732_005.png,Mass,0,0,26,25
00000732_005.png,Nodule,0,0,17,17
00000732_005.png,Pneumonia,0,0,26,26
00000732_005.png,Pneumothorax,0,0,27,26
00000740_000.png,Atelectasis,0,0,18,17
00000740_000.png,Cardiomegaly,79,85,75,84
00000740_000.png,Effusion,0,0,26,26
00000740_000.png,Infiltrate,0,0,27,26
00000740_000.png,Mass,0,0,26,26
00000740_000.png,Nodule,59,55,112,94
00000740_000.png,Pneumonia,0,0,25,25
00000740_000.png,Pneumothorax,0,0,27,26
00000744_006.png,Atelectasis,27,79,77,75
00000744_006.png,Cardiomegaly,25,89,68,67
00000744_006.png,Effusion,27,80,72,74
00000744_006.png,Infiltrate,28,84,69,74
00000744_006.png,Mass,28,85,73,71
00000744_006.png,Nodule,29,75,81,78
00000744_006.png,Pneumonia,26,86,64,71
00000744_006.png,Pneumothorax,21,72,68,80
00000756_001.png,Atelectasis,90,55,83,71
00000756_001.png,Cardiomegaly,94,61,83,82
00000756_001.png,Effusion,94,61,70,85
00000756_001.png,Infiltrate,92,57,77,66
00000756_001.png,Mass,102,71,78,74
00000756_001.png,Nodule,92,60,75,67
00000756_001.png,Pneumonia,92,57,81,73
00000756_001.png,Pneumothorax,95,60,70,66
00000808_002.png,Atelectasis,93,47,97,75
00000808_002.png,Cardiomegaly,95,43,88,79
00000808_002.png,Effusion,121,67,75,64
00000808_002.png,Infiltrate,102,41,88,81
00000808_002.png,Mass,128,73,63,55
00000808_002.png,Nodule,100,54,93,69
00000808_002.png,Pneumonia,104,48,88,77
00000808_002.png,Pneumothorax,98,53,102,71
00000830_000.png,Atelectasis,135,85,89,55
00000830_000.png,Cardiomegaly,75,59,88,73
00000830_000.png,Effusion,88,62,136,77
00000830_000.png,Infiltrate,0,0,18,18
00000830_000.png,Mass,133,92,73,53
00000830_000.png,Nodule,57,66,141,70
00000830_000.png,Pneumonia,45,61,179,90
00000830_000.png,Pneumothorax,0,0,21,21
00000845_000.png,Atelectasis,50,61,123,93
00000845_000.png,Cardiomegaly,99,80,78,83
00000845_000.png,Effusion,99,70,74,79
00000845_000.png,Infiltrate,57,49,114,98
00000845_000.png,Mass,106,95,85,82
00000845_000.png,Nodule,75,68,103,82
00000845_000.png,Pneumonia,58,68,117,87
00000845_000.png,Pneumothorax,97,75,79,89
00000865_006.png,Atelectasis,45,52,155,96
00000865_006.png,Cardiomegaly,89,67,92,99
00000865_006.png,Effusion,71,44,130,65
00000865_006.png,Infiltrate,43,59,107,97
00000865_006.png,Mass,36,50,188,137
00000865_006.png,Nodule,44,69,147,88
00000865_006.png,Pneumonia,39,65,159,105
00000865_006.png,Pneumothorax,59,53,140,98
00000902_001.png,Atelectasis,41,106,104,81
00000902_001.png,Cardiomegaly,65,107,106,94
00000902_001.png,Effusion,60,78,164,146
00000902_001.png,Infiltrate,0,0,224,224
00000902_001.png,Mass,34,109,84,115
00000902_001.png,Nodule,44,99,86,89
00000902_001.png,Pneumonia,33,115,117,109
00000902_001.png,Pneumothorax,44,39,180,147
00001039_005.png,Atelectasis,0,76,86,75
00001039_005.png,Cardiomegaly,0,82,81,70
00001039_005.png,Effusion,0,77,82,74
00001039_005.png,Infiltrate,0,47,88,105
00001039_005.png,Mass,0,76,80,75
00001039_005.png,Nodule,0,75,88,76
00001039_005.png,Pneumonia,0,79,88,74
00001039_005.png,Pneumothorax,0,78,86,77
00001075_024.png,Atelectasis,131,59,93,83
00001075_024.png,Cardiomegaly,97,41,81,77
00001075_024.png,Effusion,0,0,20,20
00001075_024.png,Infiltrate,56,0,168,111
00001075_024.png,Mass,0,0,20,20
00001075_024.png,Nodule,52,41,128,71
00001075_024.png,Pneumonia,0,0,26,26
00001075_024.png,Pneumothorax,0,0,27,26
00001153_004.png,Atelectasis,0,0,17,17
00001153_004.png,Cardiomegaly,0,0,26,26
00001153_004.png,Effusion,0,0,26,26
00001153_004.png,Infiltrate,78,0,98,72
00001153_004.png,Mass,0,0,21,21
00001153_004.png,Nodule,0,0,23,22
00001153_004.png,Pneumonia,0,0,26,26
00001153_004.png,Pneumothorax,0,0,27,26
00001170_046.png,Atelectasis,154,83,70,56
00001170_046.png,Cardiomegaly,0,26,32,95
00001170_046.png,Effusion,137,75,87,76
00001170_046.png,Infiltrate,69,0,94,89
00001170_046.png,Mass,68,0,131,117
00001170_046.png,Nodule,63,0,132,121
00001170_046.png,Pneumonia,67,41,157,97
00001170_046.png,Pneumothorax,118,55,106,93
00001248_038.png,Atelectasis,143,94,81,69
00001248_038.png,Cardiomegaly,0,0,26,25
00001248_038.png,Effusion,137,105,71,65
00001248_038.png,Infiltrate,106,17,100,148
00001248_038.png,Mass,0,0,17,17
00001248_038.png,Nodule,100,27,106,130
00001248_038.png,Pneumonia,0,0,21,21
00001248_038.png,Pneumothorax,120,42,104,113
00001320_003.png,Atelectasis,47,58,103,92
00001320_003.png,Cardiomegaly,71,73,77,88
00001320_003.png,Effusion,67,43,112,70
00001320_003.png,Infiltrate,61,53,100,99
00001320_003.png,Mass,107,68,117,102
00001320_003.png,Nodule,90,62,103,86
00001320_003.png,Pneumonia,47,69,109,96
00001320_003.png,Pneumothorax,82,54,101,102
00001369_000.png,Atelectasis,39,37,137,86
00001369_000.png,Cardiomegaly,109,62,80,81
00001369_000.png,Effusion,108,58,71,78
00001369_000.png,Infiltrate,41,40,117,77
00001369_000.png,Mass,89,68,109,75
00001369_000.png,Nodule,41,43,143,77
00001369_000.png,Pneumonia,35,52,149,81
00001369_000.png,Pneumothorax,111,67,97,82
00001373_009.png,Atelectasis,0,0,18,18
00001373_009.png,Cardiomegaly,126,100,76,90
00001373_009.png,Effusion,0,0,19,19
00001373_009.png,Infiltrate,0,0,20,19
00001373_009.png,Mass,46,72,112,95
00001373_009.png,Nodule,52,0,129,178
00001373_009.png,Pneumonia,0,0,20,20
00001373_009.png,Pneumothorax,0,0,27,26
00001373_039.png,Atelectasis,80,60,92,93
00001373_039.png,Cardiomegaly,88,72,62,83
00001373_039.png,Effusion,81,67,101,122
00001373_039.png,Infiltrate,54,48,109,107
00001373_039.png,Mass,0,0,24,24
00001373_039.png,Nodule,68,39,91,111
00001373_039.png,Pneumonia,80,61,68,93
00001373_039.png,Pneumothorax,0,0,24,23
00001437_012.png,Atelectasis,64,47,75,74
00001437_012.png,Cardiomegaly,69,67,53,53
00001437_012.png,Effusion,46,74,75,61
00001437_012.png,Infiltrate,0,143,168,81
00001437_012.png,Mass,54,37,96,87
00001437_012.png,Nodule,50,39,94,84
00001437_012.png,Pneumonia,57,49,75,77
00001437_012.png,Pneumothorax,45,36,106,91
00001534_005.png,Atelectasis,0,0,22,22
00001534_005.png,Cardiomegaly,97,67,83,84
00001534_005.png,Effusion,88,52,88,101
00001534_005.png,Infiltrate,67,37,103,95
00001534_005.png,Mass,77,74,147,87
00001534_005.png,Nodule,66,46,120,86
00001534_005.png,Pneumonia,0,0,16,16
00001534_005.png,Pneumothorax,67,44,157,99
00001555_002.png,Atelectasis,87,55,109,85
00001555_002.png,Cardiomegaly,94,58,80,100
00001555_002.png,Effusion,82,47,142,113
00001555_002.png,Infiltrate,78,64,112,93
00001555_002.png,Mass,60,61,146,146
00001555_002.png,Nodule,71,63,109,97
00001555_002.png,Pneumonia,71,74,126,117
00001555_002.png,Pneumothorax,104,74,120,127
00001558_016.png,Atelectasis,69,0,130,145
00001558_016.png,Cardiomegaly,87,55,82,95
00001558_016.png,Effusion,36,43,134,123
00001558_016.png,Infiltrate,50,0,137,149
00001558_016.png,Mass,56,0,132,158
00001558_016.png,Nodule,45,0,122,131
00001558_016.png,Pneumonia,60,0,130,142
00001558_016.png,Pneumothorax,0,0,22,21
00001673_016.png,Atelectasis,66,34,139,97
00001673_016.png,Cardiomegaly,0,0,27,26
00001673_016.png,Effusion,49,36,145,160
00001673_016.png,Infiltrate,0,0,17,17
00001673_016.png,Mass,0,0,21,20
00001673_016.png,Nodule,63,49,125,94
00001673_016.png,Pneumonia,0,0,25,25
00001673_016.png,Pneumothorax,41,48,128,117
00001688_000.png,Atelectasis,0,0,26,26
00001688_000.png,Cardiomegaly,0,0,18,18
00001688_000.png,Effusion,60,20,135,81
00001688_000.png,Infiltrate,29,60,93,106
00001688_000.png,Mass,114,65,110,101
00001688_000.png,Nodule,45,61,179,90
00001688_000.png,Pneumonia,32,72,88,87
00001688_000.png,Pneumothorax,44,50,83,61
00001787_008.png,Atelectasis,0,0,21,20
00001787_008.png,Cardiomegaly,64,40,89,103
00001787_008.png,Effusion,63,39,101,94
00001787_008.png,Infiltrate,36,19,144,137
00001787_008.png,Mass,0,0,18,18
00001787_008.png,Nodule,46,62,133,87
00001787_008.png,Pneumonia,36,61,117,101
00001787_008.png,Pneumothorax,0,0,21,21
00001836_041.png,Atelectasis,0,0,25,24
00001836_041.png,Cardiomegaly,0,0,27,26
00001836_041.png,Effusion,0,0,19,19
00001836_041.png,Infiltrate,46,0,153,161
00001836_041.png,Mass,0,0,26,26
00001836_041.png,Nodule,61,0,133,156
00001836_041.png,Pneumonia,87,24,137,144
00001836_041.png,Pneumothorax,0,0,22,22
00001836_082.png,Atelectasis,0,0,27,26
00001836_082.png,Cardiomegaly,84,76,76,101
00001836_082.png,Effusion,104,65,102,107
00001836_082.png,Infiltrate,0,0,19,18
00001836_082.png,Mass,0,0,26,26
00001836_082.png,Nodule,79,30,113,149
00001836_082.png,Pneumonia,0,0,21,21
00001836_082.png,Pneumothorax,0,0,27,26
00001900_026.png,Atelectasis,27,33,197,191
00001900_026.png,Cardiomegaly,0,77,124,147
00001900_026.png,Effusion,19,106,83,68
00001900_026.png,Infiltrate,38,25,186,199
00001900_026.png,Mass,33,41,158,113
00001900_026.png,Nodule,37,48,116,90
00001900_026.png,Pneumonia,24,57,200,167
00001900_026.png,Pneumothorax,29,55,195,135
00001933_000.png,Atelectasis,46,36,158,135
00001933_000.png,Cardiomegaly,0,0,18,18
00001933_000.png,Effusion,0,0,18,18
00001933_000.png,Infiltrate,40,39,110,106
00001933_000.png,Mass,0,0,17,17
00001933_000.png,Nodule,43,44,117,110
00001933_000.png,Pneumonia,41,58,136,123
00001933_000.png,Pneumothorax,64,32,104,103
00001946_029.png,Atelectasis,0,0,26,24
00001946_029.png,Cardiomegaly,103,0,44,42
00001946_029.png,Effusion,90,0,104,224
00001946_029.png,Infiltrate,39,88,155,136
00001946_029.png,Mass,90,96,87,96
00001946_029.png,Nodule,92,106,93,79
00001946_029.png,Pneumonia,94,124,94,100
00001946_029.png,Pneumothorax,93,117,93,107
00002059_008.png,Atelectasis,43,0,112,148
00002059_008.png,Cardiomegaly,100,78,91,87
00002059_008.png,Effusion,47,0,149,128
00002059_008.png,Infiltrate,39,0,135,185
00002059_008.png,Mass,33,91,88,95
00002059_008.png,Nodule,37,0,126,178
00002059_008.png,Pneumonia,36,37,104,144
00002059_008.png,Pneumothorax,0,0,20,20
00002106_000.png,Atelectasis,0,0,27,25
00002106_000.png,Cardiomegaly,0,78,92,146
00002106_000.png,Effusion,66,59,83,82
00002106_000.png,Infiltrate,0,35,224,189
00002106_000.png,Mass,67,38,93,80
00002106_000.png,Nodule,71,37,106,79
00002106_000.png,Pneumonia,0,0,22,22
00002106_000.png,Pneumothorax,0,0,19,19
00002176_005.png,Atelectasis,80,71,144,89
00002176_005.png,Cardiomegaly,0,0,23,22
00002176_005.png,Effusion,0,0,25,25
00002176_005.png,Infiltrate,0,0,16,16
00002176_005.png,Mass,42,89,63,80
00002176_005.png,Nodule,61,36,163,105
00002176_005.png,Pneumonia,0,0,17,17
00002176_005.png,Pneumothorax,40,64,101,96
00002176_007.png,Atelectasis,0,0,19,19
00002176_007.png,Cardiomegaly,0,0,27,26
00002176_007.png,Effusion,0,0,27,27
00002176_007.png,Infiltrate,0,0,16,16
00002176_007.png,Mass,0,0,26,26
00002176_007.png,Nodule,46,39,130,97
00002176_007.png,Pneumonia,0,0,20,20
00002176_007.png,Pneumothorax,41,61,97,94
00002224_007.png,Atelectasis,0,0,20,19
00002224_007.png,Cardiomegaly,78,30,59,89
00002224_007.png,Effusion,73,35,68,85
00002224_007.png,Infiltrate,36,28,115,131
00002224_007.png,Mass,0,0,20,20
00002224_007.png,Nodule,42,46,98,95
00002224_007.png,Pneumonia,37,47,97,112
00002224_007.png,Pneumothorax,40,59,92,83
00002290_001.png,Atelectasis,41,40,130,131
00002290_001.png,Cardiomegaly,55,55,130,122
00002290_001.png,Effusion,45,37,179,90
00002290_001.png,Infiltrate,40,47,149,113
00002290_001.png,Mass,37,70,187,121
00002290_001.png,Nodule,45,54,139,108
00002290_001.png,Pneumonia,40,59,137,120
00002290_001.png,Pneumothorax,58,41,122,108
00002350_001.png,Atelectasis,145,81,79,57
00002350_001.png,Cardiomegaly,124,70,84,73
00002350_001.png,Effusion,151,79,73,56
00002350_001.png,Infiltrate,149,82,75,57
00002350_001.png,Mass,150,85,74,52
00002350_001.png,Nodule,150,85,52,46
00002350_001.png,Pneumonia,132,73,92,73
00002350_001.png,Pneumothorax,132,68,92,74
00002395_007.png,Atelectasis,79,0,145,87
00002395_007.png,Cardiomegaly,0,0,26,26
00002395_007.png,Effusion,125,100,99,97
00002395_007.png,Infiltrate,73,0,151,188
00002395_007.png,Mass,0,0,23,23
00002395_007.png,Nodule,77,0,147,126
00002395_007.png,Pneumonia,0,0,26,26
00002395_007.png,Pneumothorax,0,0,24,24
00002435_005.png,Atelectasis,0,0,16,16
00002435_005.png,Cardiomegaly,85,84,79,90
00002435_005.png,Effusion,89,65,70,81
00002435_005.png,Infiltrate,68,50,86,106
00002435_005.png,Mass,77,98,96,95
00002435_005.png,Nodule,77,65,81,90
00002435_005.png,Pneumonia,80,67,74,96
00002435_005.png,Pneumothorax,82,86,68,80
00002533_002.png,Atelectasis,0,0,16,16
00002533_002.png,Cardiomegaly,0,0,24,24
00002533_002.png,Effusion,0,0,26,26
00002533_002.png,Infiltrate,73,0,116,87
00002533_002.png,Mass,0,0,26,26
00002533_002.png,Nodule,0,0,17,17
00002533_002.png,Pneumonia,0,0,26,26
00002533_002.png,Pneumothorax,0,0,18,18
00002578_000.png,Atelectasis,74,0,96,117
00002578_000.png,Cardiomegaly,27,107,88,83
00002578_000.png,Effusion,33,81,99,95
00002578_000.png,Infiltrate,161,119,63,88
00002578_000.png,Mass,32,103,70,77
00002578_000.png,Nodule,32,105,69,71
00002578_000.png,Pneumonia,160,123,64,78
00002578_000.png,Pneumothorax,35,84,69,74
00002583_014.png,Atelectasis,119,63,89,69
00002583_014.png,Cardiomegaly,85,51,82,81
00002583_014.png,Effusion,121,92,85,91
00002583_014.png,Infiltrate,74,0,122,152
00002583_014.png,Mass,0,0,17,17
00002583_014.png,Nodule,79,50,117,86
00002583_014.png,Pneumonia,97,53,105,97
00002583_014.png,Pneumothorax,130,69,94,81
00002704_029.png,Atelectasis,84,51,140,100
00002704_029.png,Cardiomegaly,85,60,67,81
00002704_029.png,Effusion,88,58,63,72
00002704_029.png,Infiltrate,83,52,62,68
00002704_029.png,Mass,82,67,73,81
00002704_029.png,Nodule,79,58,69,69
00002704_029.png,Pneumonia,86,54,70,73
00002704_029.png,Pneumothorax,90,60,63,64
00002711_000.png,Atelectasis,0,0,27,26
00002711_000.png,Cardiomegaly,86,102,138,103
00002711_000.png,Effusion,0,0,20,20
00002711_000.png,Infiltrate,25,69,179,124
00002711_000.png,Mass,0,0,17,17
00002711_000.png,Nodule,38,73,117,87
00002711_000.png,Pneumonia,32,92,154,93
00002711_000.png,Pneumothorax,35,69,121,75
00002763_031.png,Atelectasis,96,53,85,80
00002763_031.png,Cardiomegaly,102,61,76,80
00002763_031.png,Effusion,64,66,110,101
00002763_031.png,Infiltrate,89,52,96,84
00002763_031.png,Mass,115,68,69,81
00002763_031.png,Nodule,88,56,82,76
00002763_031.png,Pneumonia,100,60,76,75
00002763_031.png,Pneumothorax,0,0,19,19
00002856_009.png,Atelectasis,103,43,121,110
00002856_009.png,Cardiomegaly,114,32,110,124
00002856_009.png,Effusion,129,82,95,82
00002856_009.png,Infiltrate,112,0,92,152
00002856_009.png,Mass,123,56,101,101
00002856_009.png,Nodule,117,35,107,115
00002856_009.png,Pneumonia,122,46,102,108
00002856_009.png,Pneumothorax,119,53,105,100
00002980_000.png,Atelectasis,93,27,131,102
00002980_000.png,Cardiomegaly,115,77,109,147
00002980_000.png,Effusion,75,51,132,130
00002980_000.png,Infiltrate,62,109,162,88
00002980_000.png,Mass,60,116,122,85
00002980_000.png,Nodule,64,102,121,90
00002980_000.png,Pneumonia,56,115,115,86
00002980_000.png,Pneumothorax,66,76,97,106
00003028_006.png,Atelectasis,62,0,139,163
00003028_006.png,Cardiomegaly,64,105,101,92
00003028_006.png,Effusion,65,98,103,75
00003028_006.png,Infiltrate,40,117,108,68
00003028_006.png,Mass,36,122,98,82
00003028_006.png,Nodule,44,112,123,78
00003028_006.png,Pneumonia,38,116,104,83
00003028_006.png,Pneumothorax,44,119,98,68
00003064_035.png,Atelectasis,0,0,20,19
00003064_035.png,Cardiomegaly,104,82,83,114
00003064_035.png,Effusion,122,130,69,66
00003064_035.png,Infiltrate,99,65,85,121
00003064_035.png,Mass,119,131,69,63
00003064_035.png,Nodule,94,59,89,127
00003064_035.png,Pneumonia,107,94,78,92
00003064_035.png,Pneumothorax,0,0,23,22
00003072_028.png,Atelectasis,160,60,64,125
00003072_028.png,Cardiomegaly,18,67,78,111
00003072_028.png,Effusion,20,99,88,79
00003072_028.png,Infiltrate,41,0,160,150
00003072_028.png,Mass,34,27,190,125
00003072_028.png,Nodule,37,36,187,110
00003072_028.png,Pneumonia,31,46,102,93
00003072_028.png,Pneumothorax,153,65,71,95
00003148_004.png,Atelectasis,40,28,184,106
00003148_004.png,Cardiomegaly,43,59,100,95
00003148_004.png,Effusion,44,0,180,118
00003148_004.png,Infiltrate,40,26,108,106
00003148_004.png,Mass,40,49,184,102
00003148_004.png,Nodule,45,29,103,99
00003148_004.png,Pneumonia,39,56,109,97
00003148_004.png,Pneumothorax,48,17,146,140
00003149_007.png,Atelectasis,92,58,103,105
00003149_007.png,Cardiomegaly,94,69,94,98
00003149_007.png,Effusion,128,109,70,68
00003149_007.png,Infiltrate,75,0,124,166
00003149_007.png,Mass,121,76,70,93
00003149_007.png,Nodule,67,22,126,142
00003149_007.png,Pneumonia,99,50,100,114
00003149_007.png,Pneumothorax,102,83,98,84
00003333_002.png,Atelectasis,66,0,128,122
00003333_002.png,Cardiomegaly,63,70,106,89
00003333_002.png,Effusion,76,27,112,89
00003333_002.png,Infiltrate,77,0,127,132
00003333_002.png,Mass,53,0,143,151
00003333_002.png,Nodule,64,0,131,127
00003333_002.png,Pneumonia,122,56,102,89
00003333_002.png,Pneumothorax,120,39,85,85
00003391_001.png,Atelectasis,0,0,22,21
00003391_001.png,Cardiomegaly,43,74,83,121
00003391_001.png,Effusion,47,106,78,84
00003391_001.png,Infiltrate,50,45,82,103
00003391_001.png,Mass,44,49,89,127
00003391_001.png,Nodule,54,44,89,97
00003391_001.png,Pneumonia,0,0,17,17
00003391_001.png,Pneumothorax,42,54,83,78
00003394_006.png,Atelectasis,31,36,131,91
00003394_006.png,Cardiomegaly,65,52,79,71
00003394_006.png,Effusion,98,65,98,117
00003394_006.png,Infiltrate,39,0,91,106
00003394_006.png,Mass,32,46,53,75
00003394_006.png,Nodule,34,0,92,114
00003394_006.png,Pneumonia,30,28,122,95
00003394_006.png,Pneumothorax,37,0,187,164
00003400_003.png,Atelectasis,50,0,115,123
00003400_003.png,Cardiomegaly,0,163,104,61
00003400_003.png,Effusion,43,24,119,77
00003400_003.png,Infiltrate,61,19,120,83
00003400_003.png,Mass,36,40,107,87
